game_pk,game_date_utc,status,venue_name,home_team_id,home_team_name,away_team_id,away_team_name,home_probable_pitcher_id,home_probable_pitcher_name,away_probable_pitcher_id,away_probable_pitcher_name,home_score,away_score,target_home_team_win,home_team_games_played,home_team_wins,home_team_losses,home_team_win_pct,home_team_runs_scored_avg,home_team_runs_allowed_avg,home_team_run_diff_avg,home_team_recent_games,home_team_recent_win_pct,home_team_recent_runs_scored_avg,home_team_recent_runs_allowed_avg,home_team_recent_run_diff_avg,home_team_streak,home_team_home_win_pct,home_team_away_win_pct,home_team_one_run_win_pct,away_team_games_played,away_team_wins,away_team_losses,away_team_win_pct,away_team_runs_scored_avg,away_team_runs_allowed_avg,away_team_run_diff_avg,away_team_recent_games,away_team_recent_win_pct,away_team_recent_runs_scored_avg,away_team_recent_runs_allowed_avg,away_team_recent_run_diff_avg,away_team_streak,away_team_home_win_pct,away_team_away_win_pct,away_team_one_run_win_pct,h2h_games,h2h_recent_games,h2h_home_team_recent_win_pct,h2h_home_team_recent_run_diff_avg,h2h_last_meeting_home_team_won,home_pitcher_recent_appearances,home_pitcher_recent_innings_pitched,home_pitcher_recent_era,home_pitcher_recent_whip,home_pitcher_recent_k_per_9,home_pitcher_recent_bb_per_9,home_pitcher_recent_hr_per_9,home_pitcher_recent_strikeouts,home_pitcher_recent_walks,home_pitcher_recent_hits_allowed,home_pitcher_recent_pitches,home_pitcher_recent_batters_faced,away_pitcher_recent_appearances,away_pitcher_recent_innings_pitched,away_pitcher_recent_era,away_pitcher_recent_whip,away_pitcher_recent_k_per_9,away_pitcher_recent_bb_per_9,away_pitcher_recent_hr_per_9,away_pitcher_recent_strikeouts,away_pitcher_recent_walks,away_pitcher_recent_hits_allowed,away_pitcher_recent_pitches,away_pitcher_recent_batters_faced
824215,2026-03-29T18:10:00+00:00,Final,Daikin Park,117,Houston Astros,108,Los Angeles Angels,837227,Tatsuya Imai,686799,Jack Kochanowicz,9,7,1,3,1,2,0.3333,4.3333,6.0,-1.6667,3,0.3333,4.3333,6.0,-1.6667,1,0.3333,,,3,2,1,0.6667,6.0,4.3333,1.6667,3,0.6667,6.0,4.3333,1.6667,-1,,0.6667,,3,3,0.3333,-1.6667,1,1,2.6667,13.5,2.625,13.5,13.5,0.0,4.0,4.0,3.0,74.0,15.0,1,4.0,11.25,2.25,6.75,11.25,0.0,3.0,5.0,4.0,94.0,22.0
823810,2026-03-29T18:10:00+00:00,Final,American Family Field,158,Milwaukee Brewers,145,Chicago White Sox,687075,Brandon Sproat,641743,Anthony Kay,9,7,1,2,2,0,1.0,10.0,1.5,8.5,2,1.0,10.0,1.5,8.5,2,1.0,,,2,0,2,0.0,1.5,10.0,-8.5,2,0.0,1.5,10.0,-8.5,-2,,0.0,,2,2,1.0,8.5,1,1,3.0,21.0,3.3333,9.0,12.0,9.0,3.0,4.0,6.0,86.0,18.0,1,4.6667,3.8571,1.5,9.6429,7.7143,1.9286,5.0,4.0,3.0,92.0,21.0
823079,2026-03-29T18:15:00+00:00,Final,Busch Stadium,138,St. Louis Cardinals,139,Tampa Bay Rays,669160,Dustin May,571927,Steven Matz,7,11,0,2,2,0,1.0,7.5,6.0,1.5,2,1.0,7.5,6.0,1.5,2,1.0,,1.0,2,0,2,0.0,6.0,7.5,-1.5,2,0.0,6.0,7.5,-1.5,-2,,0.0,0.0,2,2,1.0,1.5,1,1,4.0,13.5,2.75,6.75,2.25,0.0,3.0,1.0,10.0,61.0,22.0,1,5.0,7.2,1.4,3.6,1.8,1.8,2.0,1.0,6.0,81.0,21.0
824700,2026-03-29T18:20:00+00:00,Final,Wrigley Field,112,Chicago Cubs,120,Washington Nationals,684007,Shota Imanaga,663623,Jake Irvin,3,6,0,2,1,1,0.5,7.0,6.0,1.0,2,0.5,7.0,6.0,1.0,1,0.5,,,2,1,1,0.5,6.0,7.0,-1.0,2,0.5,6.0,7.0,-1.0,-1,,0.5,,2,2,0.5,1.0,1,1,5.0,7.2,1.6,12.6,3.6,1.8,7.0,2.0,6.0,82.0,22.0,1,5.0,3.6,0.8,12.6,1.8,3.6,7.0,1.0,3.0,93.0,20.0
823160,2026-03-29T23:20:00+00:00,Final,T-Mobile Park,136,Seattle Mariners,114,Cleveland Guardians,676106,Emerson Hancock,677944,Slade Cecconi,8,0,1,3,1,2,0.3333,4.6667,4.3333,0.3333,3,0.3333,4.6667,4.3333,0.3333,-1,0.3333,,0.0,3,2,1,0.6667,4.3333,4.6667,-0.3333,3,0.6667,4.3333,4.6667,-0.3333,1,,0.6667,1.0,3,3,0.3333,0.3333,0,1,6.0,0.0,0.1667,13.5,1.5,0.0,9.0,1.0,,97.0,19.0,1,4.3333,12.4615,2.0769,10.3846,6.2308,2.0769,5.0,3.0,6.0,93.0,24.0
824135,2026-03-30T20:10:00+00:00,Scheduled,Kauffman Stadium,118,Kansas City Royals,142,Minnesota Twins,663460,Kris Bubic,680573,Simeon Woods Richardson,,,,3,1,2,0.3333,2.0,4.3333,-2.3333,3,0.3333,2.0,4.3333,-2.3333,1,,0.3333,,3,1,2,0.3333,3.6667,3.6667,0.0,3,0.3333,3.6667,3.6667,0.0,-1,,0.3333,0.0,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
824863,2026-03-30T22:35:00+00:00,Scheduled,Oriole Park at Camden Yards,110,Baltimore Orioles,140,Texas Rangers,605135,Chris Bassitt,683004,Jack Leiter,,,,3,2,1,0.6667,3.6667,3.6667,0.0,3,0.6667,3.6667,3.6667,0.0,1,0.6667,,1.0,3,2,1,0.6667,5.3333,4.0,1.3333,3,0.6667,5.3333,4.0,1.3333,2,,0.6667,1.0,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
824539,2026-03-30T22:40:00+00:00,Scheduled,Great American Ball Park,113,Cincinnati Reds,134,Pittsburgh Pirates,695505,Chase Burns,677952,Braxton Ashcraft,,,,3,2,1,0.6667,3.0,3.3333,-0.3333,3,0.6667,3.0,3.3333,-0.3333,2,0.6667,,1.0,3,1,2,0.3333,4.3333,6.0,-1.6667,3,0.3333,4.3333,6.0,-1.6667,1,,0.3333,1.0,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
823484,2026-03-30T22:40:00+00:00,Scheduled,Citizens Bank Park,143,Philadelphia Phillies,120,Washington Nationals,592836,Taijuan Walker,656492,Foster Griffin,,,,3,1,2,0.3333,4.0,5.3333,-1.3333,3,0.3333,4.0,5.3333,-1.3333,-2,0.3333,,0.0,3,2,1,0.6667,6.0,5.6667,0.3333,3,0.6667,6.0,5.6667,0.3333,1,,0.6667,,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
823890,2026-03-30T22:40:00+00:00,Scheduled,loanDepot park,146,Miami Marlins,145,Chicago White Sox,663978,Chris Paddack,663436,Davis Martin,,,,3,3,0,1.0,3.3333,2.3333,1.0,3,1.0,3.3333,2.3333,1.0,3,1.0,,1.0,3,0,3,0.0,3.3333,9.6667,-6.3333,3,0.0,3.3333,9.6667,-6.3333,-3,,0.0,,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
822834,2026-03-30T23:07:00+00:00,Scheduled,Rogers Centre,141,Toronto Blue Jays,115,Colorado Rockies,664074,Cody Ponce,608372,Tomoyuki Sugano,,,,3,3,0,1.0,5.3333,3.6667,1.6667,3,1.0,5.3333,3.6667,1.6667,3,1.0,,1.0,3,0,3,0.0,2.3333,3.3333,-1.0,3,0.0,2.3333,3.3333,-1.0,-3,,0.0,0.0,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
824943,2026-03-30T23:15:00+00:00,Scheduled,Truist Park,144,Atlanta Braves,133,Athletics,693821,Bryce Elder,682052,Jacob Lopez,,,,3,2,1,0.6667,4.3333,2.0,2.3333,3,0.6667,4.3333,2.0,2.3333,-1,0.6667,,,3,0,3,0.0,3.6667,5.3333,-1.6667,3,0.0,3.6667,5.3333,-1.6667,-3,,0.0,0.0,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
824702,2026-03-30T23:40:00+00:00,Scheduled,Wrigley Field,112,Chicago Cubs,108,Los Angeles Angels,665795,Edward Cabrera,696270,Ryan Johnson,,,,3,1,2,0.3333,5.6667,6.0,-0.3333,3,0.3333,5.6667,6.0,-0.3333,-1,0.3333,,,4,2,2,0.5,6.25,5.5,0.75,4,0.5,6.25,5.5,0.75,-2,,0.5,,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
823809,2026-03-30T23:40:00+00:00,Scheduled,American Family Field,158,Milwaukee Brewers,139,Tampa Bay Rays,690986,Kyle Harrison,607259,Nick Martinez,,,,3,3,0,1.0,9.6667,3.3333,6.3333,3,1.0,9.6667,3.3333,6.3333,3,1.0,,,3,1,2,0.3333,7.6667,7.3333,0.3333,3,0.3333,7.6667,7.3333,0.3333,1,,0.3333,0.0,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
823080,2026-03-30T23:45:00+00:00,Scheduled,Busch Stadium,138,St. Louis Cardinals,121,New York Mets,681517,Kyle Leahy,605280,Clay Holmes,,,,3,2,1,0.6667,7.3333,7.6667,-0.3333,3,0.6667,7.3333,7.6667,-0.3333,-1,0.6667,,1.0,3,2,1,0.6667,6.0,4.3333,1.6667,3,0.6667,6.0,4.3333,1.6667,-1,0.6667,,0.0,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
824214,2026-03-31T00:10:00+00:00,Scheduled,Daikin Park,117,Houston Astros,111,Boston Red Sox,621121,Lance McCullers Jr.,624133,Ranger Suarez,,,,4,2,2,0.5,5.5,6.25,-0.75,4,0.5,5.5,6.25,-0.75,2,0.5,,,3,1,2,0.3333,3.3333,3.0,0.3333,3,0.3333,3.3333,3.0,0.3333,-2,,0.3333,0.0,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
823320,2026-03-31T01:40:00+00:00,Scheduled,Petco Park,135,San Diego Padres,137,San Francisco Giants,621111,Walker Buehler,694738,Landen Roupp,,,,3,1,2,0.3333,2.3333,4.3333,-2.0,3,0.3333,2.3333,4.3333,-2.0,1,0.3333,,,3,0,3,0.0,0.3333,4.3333,-4.0,3,0.0,0.3333,4.3333,-4.0,-3,0.0,,,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
823159,2026-03-31T01:40:00+00:00,Scheduled,T-Mobile Park,136,Seattle Mariners,147,New York Yankees,622491,Luis Castillo,677960,Ryan Weathers,,,,4,2,2,0.5,5.5,3.25,2.25,4,0.5,5.5,3.25,2.25,1,0.5,,0.0,3,3,0,1.0,4.3333,0.3333,4.0,3,1.0,4.3333,0.3333,4.0,3,,1.0,,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
825108,2026-03-31T02:10:00+00:00,Scheduled,Chase Field,109,Arizona Diamondbacks,116,Detroit Tigers,647336,Michael Soroka,434378,Justin Verlander,,,,3,0,3,0.0,2.6667,5.3333,-2.6667,3,0.0,2.6667,5.3333,-2.6667,-3,,0.0,0.0,3,2,1,0.6667,4.3333,2.3333,2.0,3,0.6667,4.3333,2.3333,2.0,-1,,0.6667,,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
823972,2026-03-31T02:10:00+00:00,Scheduled,UNIQLO Field at Dodger Stadium,119,Los Angeles Dodgers,114,Cleveland Guardians,808963,Roki Sasaki,800048,Parker Messick,,,,3,3,0,1.0,5.3333,2.6667,2.6667,3,1.0,5.3333,2.6667,2.6667,3,1.0,,1.0,4,2,2,0.5,3.25,5.5,-2.25,4,0.5,3.25,5.5,-2.25,-1,,0.5,1.0,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
